rank,eligible,parameter_json,market_return20_min,residual_z_max,spacing_atr_multiplier,lower_level_enabled,stop_steps,maximum_horizon,executed_campaigns,total_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,positive_halfyear_fraction,worst_return,p10_return,campaign_return_sharpe,robust_score
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.75,0.75,False,3,10,30,-1158390,-27845.5,0.45424067233003645,-1762264,-1378224,0.25,-0.07998250739975105,-0.05960548836097124,-2.614981428036242,-2.66987405382636
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.75,0.75,False,3,15,29,-931305,-24742,0.5086612951899396,-1488302,-1151139,0.25,-0.07998250739975105,-0.059713037367609176,-2.481699915536943,-2.536619428578721
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.75,0.75,False,3,20,29,-901380,-24742,0.5168207882096082,-1458452,-1121214,0.25,-0.07998250739975105,-0.059713037367609176,-2.4623638581224623,-2.51728337116424
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.75,0.75,True,2,10,30,-1973848,-27845.5,0.31774864602080993,-2668564,-2193682,0.25,-0.05997233681680814,-0.053552674907060754,-2.791416639492083,-2.8347909766272528
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.75,0.75,True,2,15,30,-1973848,-27845.5,0.31774864602080993,-2668564,-2193682,0.25,-0.05997233681680814,-0.053552674907060754,-2.791416639492083,-2.8347909766272528
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.75,0.75,True,2,20,30,-1973848,-27845.5,0.31774864602080993,-2668564,-2193682,0.25,-0.05997233681680814,-0.053552674907060754,-2.791416639492083,-2.8347909766272528
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.75,0.75,True,3,10,29,-2094905,-30949,0.30476201538553443,-2804876,-2314739,0.25,-0.09042168459115582,-0.06014921667101271,-2.7761152782725307,-2.8363634247358616
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.75,0.75,True,3,15,28,-1797995,-20176.0,0.3380744465837846,-2461363,-2017829,0.25,-0.09042168459115582,-0.060474855329352414,-2.629567553945419,-2.689897110073335
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.75,0.75,True,3,20,28,-1768070,-11033.0,0.34532898878068646,-2431513,-1987904,0.25,-0.09042168459115582,-0.060474855329352414,-2.6187019227690156,-2.6790314788969316
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.75,1.0,False,2,10,30,-1257942,-75426.5,0.472129857006897,-1861662,-1537626,0.5,-0.06997742210827959,-0.06010751148379706,-2.879539406372911,-2.9295549952980005
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.75,1.0,False,2,15,29,-861382,-67905,0.5663803327675118,-1418749,-1141066,0.5,-0.06997742210827959,-0.06071708361326082,-2.663747543515933,-2.713915525473388
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.75,1.0,False,2,20,29,-831457,-37980,0.575042919562683,-1388899,-1111141,0.5,-0.06997742210827959,-0.06071708361326082,-2.6438993456508637,-2.6940673276083187
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.75,1.0,False,3,10,30,-1218242,-50599.0,0.4903461109168099,-1821963,-1497926,0.25,-0.1024936985515445,-0.0711799971962139,-2.6391529643032325,-2.7081948128780584
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.75,1.0,False,3,15,28,-988845,-49427.0,0.5418320970745402,-1538178,-1268529,0.25,-0.1024936985515445,-0.07121221988172292,-2.538382196491022,-2.607432100737225
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.75,1.0,False,3,20,28,-993833,-34464.5,0.540582744365299,-1543154,-1273517,0.25,-0.1024936985515445,-0.07668432626491775,-2.550919438723576,-2.6213373695655777
