trial_id,fold_id,ticker,sector,signal_date,entry_date,residual_z5,residual_1,control_executed,control_net_pnl_vnd,control_double_pnl_vnd,control_profit_target_sales,control_risk_exit,control_time_exit,control_max_inventory,reanchor_executed,reanchor_net_pnl_vnd,reanchor_double_pnl_vnd,reanchor_profit_target_sales,reanchor_risk_exit,reanchor_time_exit,reanchor_max_inventory,lower_bound_breached,reanchored,recovery_lot_filled,reanchor_stress_cancelled,paired_improvement_vnd
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_11,HPG,materials,2024-09-16,2024-09-17,-0.8630356634535076,0.00014867539211433495,True,4307,-21279,2,False,False,100,True,4307,-21279,2,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_12,HPG,materials,2024-11-05,2024-11-06,-0.658531444085785,0.006700040934704877,True,-8651,-22100,1,True,False,100,True,-8651,-22100,1,True,False,100,True,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_12,VPB,banks,2024-11-06,2024-11-07,-0.959930655618274,-0.00011030048629808841,False,0,0,0,True,False,0,False,0,0,0,True,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_12,MWG,consumer_retail,2024-11-13,2024-11-14,-1.8271193057803168,0.01799381307849365,False,0,0,0,True,False,0,False,0,0,0,True,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_13,VND,securities,2025-01-02,2025-01-03,-1.5013362044923826,0.00048408867882252323,False,0,0,0,True,False,0,False,0,0,0,True,False,0,True,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_13,TCB,banks,2025-01-06,2025-01-07,-0.6189612295344887,0.009863110686216184,True,-101794,-113485,0,True,False,100,True,-101794,-113485,0,True,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_13,MWG,consumer_retail,2025-01-07,2025-01-08,-0.7559569985421056,0.021915391455870167,False,0,0,0,True,False,0,False,0,0,0,True,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_14,VPB,banks,2025-03-06,2025-03-07,-1.6115063299201182,-0.006152742056961891,False,0,0,0,True,False,0,False,0,0,0,True,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_14,HPG,materials,2025-03-06,2025-03-07,-1.0062995665413421,-0.005133509268604595,True,-367572,-380041,0,True,False,100,True,-367572,-380041,0,True,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_14,SSI,securities,2025-03-11,2025-03-12,-0.8796320070124644,-0.005285058840714326,False,0,0,0,True,False,0,False,0,0,0,True,False,0,True,False,False,False,0
