rank,eligible,parameter_json,ridge_penalty,minimum_target_probability,risk_penalty,score_buffer,top_k,selected_campaigns,selected_targets,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",100,0.3,1.0,0.001,3,6,0,-552261,-256518,-295743,-101232.0,0.08831113517653973,-769179,-605756,0,605756,-605756,0.0,1.0,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",100,0.3,1.5,0.0,1,4,0,-323972,-256518,-67454,-99588.5,0.14172099812698857,-507607,-377467,0,377467,-377467,0.0,1.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",100,0.3,1.5,0.0,2,4,0,-323972,-256518,-67454,-99588.5,0.14172099812698857,-507607,-377467,0,377467,-377467,0.0,1.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",100,0.3,1.5,0.0,3,4,0,-323972,-256518,-67454,-99588.5,0.14172099812698857,-507607,-377467,0,377467,-377467,0.0,1.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",100,0.3,1.5,0.001,1,4,0,-303382,-256518,-46864,-81278.0,0.1857943002219473,-486526,-356877,0,372611,-372611,0.0,1.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",100,0.3,1.5,0.001,2,4,0,-303382,-256518,-46864,-81278.0,0.1857943002219473,-486526,-356877,0,372611,-372611,0.0,1.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",100,0.3,1.5,0.001,3,4,0,-303382,-256518,-46864,-81278.0,0.1857943002219473,-486526,-356877,0,372611,-372611,0.0,1.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",100,0.45,1.0,0.0,1,4,0,131694,-256518,388212,-6926.0,1.5853014639869867,-16379,-164013,0,225002,-225002,0.5,0.8290168659026174,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",100,0.45,1.0,0.0,2,4,0,131694,-256518,388212,-6926.0,1.5853014639869867,-16379,-164013,0,225002,-225002,0.5,0.8290168659026174,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",100,0.45,1.0,0.0,3,4,0,131694,-256518,388212,-6926.0,1.5853014639869867,-16379,-164013,0,225002,-225002,0.5,0.8290168659026174,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",100,0.45,1.0,0.001,1,2,0,-225002,-256518,31516,-112501.0,0.0,-284891,-150161,0,225002,-225002,0.0,0.0,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",100,0.45,1.0,0.001,2,2,0,-225002,-256518,31516,-112501.0,0.0,-284891,-150161,0,225002,-225002,0.0,0.0,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",100,0.45,1.0,0.001,3,2,0,-225002,-256518,31516,-112501.0,0.0,-284891,-150161,0,225002,-225002,0.0,0.0,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",100,0.45,1.5,0.0,1,1,0,-74841,-256518,181677,-74841,0.0,-119672,0,0,74841,-74841,0.0,0.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",100,0.45,1.5,0.0,2,1,0,-74841,-256518,181677,-74841,0.0,-119672,0,0,74841,-74841,0.0,0.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",100,0.45,1.5,0.0,3,1,0,-74841,-256518,181677,-74841,0.0,-119672,0,0,74841,-74841,0.0,0.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",100,0.45,1.5,0.001,1,1,0,-194321,-256518,62197,-194321,0.0,-238533,0,0,194321,-194321,0.0,0.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",100,0.45,1.5,0.001,2,1,0,-194321,-256518,62197,-194321,0.0,-238533,0,0,194321,-194321,0.0,0.0,1,1.0,0.13968253968253969
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",100,0.45,1.5,0.001,3,1,0,-194321,-256518,62197,-194321,0.0,-238533,0,0,194321,-194321,0.0,0.0,1,1.0,0.13968253968253969
