role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L1:C3,1,2025-09-04T10:54:00,BUY,buy,100,34100,34100,3410000,5115,0,0,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L2:C1,2,2025-09-08T09:15:00,BUY,buy,100,33300,33300,3330000,4995,0,0,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L2:C2,2,2025-09-08T09:15:00,BUY,buy,100,33300,33300,3330000,4995,0,0,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L2:C3,2,2025-09-08T09:15:00,BUY,buy,100,33300,33300,3330000,4995,0,0,0
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L1:C1,1,2025-09-08T09:21:00,BUY,buy,100,26900,26950,2695000,4043,0,5000,0
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L1:C2,1,2025-09-08T09:21:00,BUY,buy,100,26900,26950,2695000,4043,0,5000,0
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L1:C3,1,2025-09-08T09:21:00,BUY,buy,100,26900,26950,2695000,4043,0,5000,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L3:C1,3,2025-09-08T10:19:00,BUY,buy,100,32350,32400,3240000,4860,0,5000,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L3:C2,3,2025-09-08T10:19:00,BUY,buy,100,32350,32400,3240000,4860,0,5000,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L3:C3,3,2025-09-08T10:19:00,BUY,buy,100,32350,32400,3240000,4860,0,5000,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L4:C1,4,2025-09-08T11:14:00,BUY,buy,100,31550,31600,3160000,4740,0,5000,0
