role,trading_date,equity_vnd,available_cash_vnd,pending_cash_vnd,inventory_liquidation_value_vnd,realized_pnl_vnd,unrealized_pnl_vnd,benchmark_equity_vnd,selected_sector,selected_tickers
locked_final_test,2025-08-20,1002083221,1002083221,0,0,2083221,0,1295857655,securities,SSI|VND
locked_final_test,2025-08-21,1002083221,1002083221,0,0,2083221,0,1326771066,securities,SSI|VND
locked_final_test,2025-08-22,1002083221,1002083221,0,0,2083221,0,1266037955,securities,SSI|VND
locked_final_test,2025-08-25,1002083221,1002083221,0,0,2083221,0,1231438549,securities,SSI|VND
locked_final_test,2025-08-26,1002083221,1002083221,0,0,2083221,0,1288579595,securities,SSI|VND
locked_final_test,2025-08-27,1002083221,1002083221,0,0,2083221,0,1307148760,securities,SSI|VND
locked_final_test,2025-08-28,1002083221,1002083221,0,0,2083221,0,1330711246,securities,SSI|VND
locked_final_test,2025-08-29,1002083221,1002083221,0,0,2083221,0,1356784908,securities,SSI|VND
locked_final_test,2025-09-03,1002083221,1002083221,0,0,2083221,0,1353291529,banks,VPB|MBB
locked_final_test,2025-09-04,1002281701,991837876,0,10443825,2083221,198480,1365899050,banks,VPB|MBB
locked_final_test,2025-09-05,1001862751,991837876,0,10024875,2083221,-220470,1319739622,banks,VPB|MBB
locked_final_test,2025-09-08,999843337,954506962,0,45336375,2083221,-2239884,1273509397,banks,VPB|MBB
locked_final_test,2025-09-09,1001098429,946575082,9486225,45037122,1324101,-225672,1296243310,banks,VPB|MBB
locked_final_test,2025-09-10,1000829104,946575082,38124450,16129572,728541,100563,1304479669,banks,VPB|MBB
locked_final_test,2025-09-11,1000679482,956061307,28638225,15979950,728541,-49059,1296874029,banks,VPB|MBB
locked_final_test,2025-09-12,1000619632,984699532,0,15920100,728541,-108909,1288226825,banks,VPB|MBB
locked_final_test,2025-09-15,1000769254,984699532,0,16069722,728541,40713,1299955598,banks,VPB|MBB
locked_final_test,2025-09-16,1001113393,984699532,16413861,0,1113393,0,1300032416,banks,VPB|MBB
locked_final_test,2025-09-17,1001113393,984699532,16413861,0,1113393,0,1273585101,banks,VPB|MBB
locked_final_test,2025-09-18,1001113393,1001113393,0,0,1113393,0,1268835780,banks,VPB|MBB
locked_final_test,2025-09-19,1001113393,1001113393,0,0,1113393,0,1251527912,banks,VPB|MBB
locked_final_test,2025-09-22,1001113393,1001113393,0,0,1113393,0,1222757604,banks,VPB|MBB
locked_final_test,2025-09-23,1001113393,1001113393,0,0,1113393,0,1229175555,banks,VPB|MBB
locked_final_test,2025-09-24,1001113393,1001113393,0,0,1113393,0,1265316408,banks,VPB|MBB
locked_final_test,2025-09-25,1001113393,1001113393,0,0,1113393,0,1256938346,banks,VPB|MBB
locked_final_test,2025-09-26,1001113393,1001113393,0,0,1113393,0,1239357451,banks,VPB|MBB
locked_final_test,2025-09-29,1001113393,1001113393,0,0,1113393,0,1238446732,banks,VPB|MBB
locked_final_test,2025-09-30,1001113393,1001113393,0,0,1113393,0,1245702289,banks,VPB|MBB
locked_final_test,2025-10-01,1001113393,1001113393,0,0,1113393,0,1252787619,,
locked_final_test,2025-10-02,1001113393,1001113393,0,0,1113393,0,1243289928,,
locked_final_test,2025-10-03,1001113393,1001113393,0,0,1113393,0,1231724582,,
locked_final_test,2025-10-06,1001113393,1001113393,0,0,1113393,0,1293622607,,
locked_final_test,2025-10-07,1001113393,1001113393,0,0,1113393,0,1287845731,,
locked_final_test,2025-10-08,1001113393,1001113393,0,0,1113393,0,1292485337,,
locked_final_test,2025-10-09,1001113393,1001113393,0,0,1113393,0,1296671956,,
locked_final_test,2025-10-10,1001113393,1001113393,0,0,1113393,0,1302681700,,
locked_final_test,2025-10-13,1001113393,1001113393,0,0,1113393,0,1310150832,,
locked_final_test,2025-10-14,1001113393,1001113393,0,0,1113393,0,1305549772,,
locked_final_test,2025-10-15,1001113393,1001113393,0,0,1113393,0,1316909724,,
locked_final_test,2025-10-16,1001113393,1001113393,0,0,1113393,0,1319348458,,
locked_final_test,2025-10-17,1001113393,1001113393,0,0,1113393,0,1298332101,,
locked_final_test,2025-10-20,1001113393,1001113393,0,0,1113393,0,1215198777,,
locked_final_test,2025-10-21,1001113393,1001113393,0,0,1113393,0,1213438008,,
locked_final_test,2025-10-22,1001113393,1001113393,0,0,1113393,0,1216459937,,
locked_final_test,2025-10-23,1001113393,1001113393,0,0,1113393,0,1198786848,,
locked_final_test,2025-10-24,1001113393,1001113393,0,0,1113393,0,1169029751,,
locked_final_test,2025-10-27,1001113393,1001113393,0,0,1113393,0,1144124781,,
locked_final_test,2025-10-28,1001113393,1001113393,0,0,1113393,0,1173141268,,
locked_final_test,2025-10-29,1001113393,1001113393,0,0,1113393,0,1179382724,,
locked_final_test,2025-10-30,1001113393,1001113393,0,0,1113393,0,1158834235,,
locked_final_test,2025-10-31,1001113393,1001113393,0,0,1113393,0,1143706164,,
locked_final_test,2025-11-03,1001113393,1001113393,0,0,1113393,0,1101369051,,
locked_final_test,2025-11-04,1001113393,1001113393,0,0,1113393,0,1156683241,,
locked_final_test,2025-11-05,1001113393,1001113393,0,0,1113393,0,1150927891,,
locked_final_test,2025-11-06,1001113393,1001113393,0,0,1113393,0,1133351015,,
locked_final_test,2025-11-07,1001113393,1001113393,0,0,1113393,0,1102848925,,
locked_final_test,2025-11-10,1001113393,1001113393,0,0,1113393,0,1107034087,,
locked_final_test,2025-11-11,1001113393,1001113393,0,0,1113393,0,1119781547,,
locked_final_test,2025-11-12,1001113393,1001113393,0,0,1113393,0,1144876548,,
locked_final_test,2025-11-13,1001113393,1001113393,0,0,1113393,0,1137237060,,
locked_final_test,2025-11-14,1001113393,1001113393,0,0,1113393,0,1138696004,,
locked_final_test,2025-11-17,1001113393,1001113393,0,0,1113393,0,1148927821,,
locked_final_test,2025-11-18,1001113393,1001113393,0,0,1113393,0,1156245719,,
locked_final_test,2025-11-19,1001113393,1001113393,0,0,1113393,0,1133277357,,
locked_final_test,2025-11-20,1001113393,1001113393,0,0,1113393,0,1134341847,,
locked_final_test,2025-11-21,1001113393,1001113393,0,0,1113393,0,1124782879,,
locked_final_test,2025-11-24,1001113393,1001113393,0,0,1113393,0,1122658228,,
locked_final_test,2025-11-25,1001113393,1001113393,0,0,1113393,0,1096004483,,
locked_final_test,2025-11-26,1001113393,1001113393,0,0,1113393,0,1118671471,,
locked_final_test,2025-11-27,1001113393,1001113393,0,0,1113393,0,1115243755,,
locked_final_test,2025-11-28,1001113393,1001113393,0,0,1113393,0,1106910264,,
locked_final_test,2025-12-01,1001113393,1001113393,0,0,1113393,0,1097638953,,
locked_final_test,2025-12-02,1001113393,1001113393,0,0,1113393,0,1110470621,,
locked_final_test,2025-12-03,1001113393,1001113393,0,0,1113393,0,1138196055,,
locked_final_test,2025-12-04,1001113393,1001113393,0,0,1113393,0,1155433969,,
locked_final_test,2025-12-05,1001113393,1001113393,0,0,1113393,0,1136774284,,
locked_final_test,2025-12-08,1001113393,1001113393,0,0,1113393,0,1129930775,,
locked_final_test,2025-12-09,1001113393,1001113393,0,0,1113393,0,1112392899,,
locked_final_test,2025-12-10,1001113393,1001113393,0,0,1113393,0,1120697890,,
locked_final_test,2025-12-11,1001113393,1001113393,0,0,1113393,0,1108129686,,
locked_final_test,2025-12-12,1001113393,1001113393,0,0,1113393,0,1064046315,,
locked_final_test,2025-12-15,1001113393,1001113393,0,0,1113393,0,1072464625,,
locked_final_test,2025-12-16,1001113393,1001113393,0,0,1113393,0,1112269941,,
locked_final_test,2025-12-17,1001113393,1001113393,0,0,1113393,0,1103184381,,
locked_final_test,2025-12-18,1001113393,1001113393,0,0,1113393,0,1115735743,,
locked_final_test,2025-12-19,1001113393,1001113393,0,0,1113393,0,1133494555,,
locked_final_test,2025-12-22,1001113393,1001113393,0,0,1113393,0,1156749401,,
locked_final_test,2025-12-23,1001113393,1001113393,0,0,1113393,0,1144951057,,
locked_final_test,2025-12-24,1001113393,1001113393,0,0,1113393,0,1158328174,,
locked_final_test,2025-12-25,1001113393,1001113393,0,0,1113393,0,1138486510,,
locked_final_test,2025-12-26,1001113393,1001113393,0,0,1113393,0,1134385298,,
locked_final_test,2025-12-29,1001113393,1001113393,0,0,1113393,0,1130786669,,
locked_final_test,2025-12-30,1001113393,1001113393,0,0,1113393,0,1138622569,,
locked_final_test,2025-12-31,1001113393,1001113393,0,0,1113393,0,1139691284,,
locked_final_test,2026-01-05,1001113393,1001113393,0,0,1113393,0,1119813239,,
locked_final_test,2026-01-06,1001113393,1001113393,0,0,1113393,0,1144702327,,
locked_final_test,2026-01-07,1001113393,1001113393,0,0,1113393,0,1167028092,,
locked_final_test,2026-01-08,1001113393,1001113393,0,0,1113393,0,1185489410,,
locked_final_test,2026-01-09,1001113393,1001113393,0,0,1113393,0,1194556046,,
locked_final_test,2026-01-12,1001113393,1001113393,0,0,1113393,0,1263658543,,
locked_final_test,2026-01-13,1001113393,1001113393,0,0,1113393,0,1264536678,,
locked_final_test,2026-01-14,1001113393,1001113393,0,0,1113393,0,1257301128,,
locked_final_test,2026-01-15,1001113393,1001113393,0,0,1113393,0,1235685695,,
locked_final_test,2026-01-16,1001113393,1001113393,0,0,1113393,0,1234801397,,
locked_final_test,2026-01-19,1001113393,1001113393,0,0,1113393,0,1246096400,,
locked_final_test,2026-01-20,1001113393,1001113393,0,0,1113393,0,1236405605,,
locked_final_test,2026-01-21,1001113393,1001113393,0,0,1113393,0,1213729137,,
locked_final_test,2026-01-22,1001113393,1001113393,0,0,1113393,0,1213933133,,
locked_final_test,2026-01-23,1001113393,1001113393,0,0,1113393,0,1207161437,,
locked_final_test,2026-01-26,1001113393,1001113393,0,0,1113393,0,1178758737,,
locked_final_test,2026-01-27,1001113393,1001113393,0,0,1113393,0,1181731045,,
locked_final_test,2026-01-28,1001113393,1001113393,0,0,1113393,0,1176533184,,
locked_final_test,2026-01-29,1001113393,1001113393,0,0,1113393,0,1179457143,,
locked_final_test,2026-01-30,1001113393,1001113393,0,0,1113393,0,1193763328,,
locked_final_test,2026-02-02,1001056369,990582619,0,10473750,1113393,-57024,1182949412,banks,TCB|VCB
locked_final_test,2026-02-03,1000966594,990582619,0,10383975,1113393,-146799,1189258358,banks,TCB|VCB
locked_final_test,2026-02-04,1000921705,990582619,0,10339086,1113393,-191688,1192863590,banks,TCB|VCB
locked_final_test,2026-02-05,1001011480,990582619,0,10428861,1113393,-101913,1172762479,banks,TCB|VCB
locked_final_test,2026-02-06,999263695,920112070,0,79151625,1113393,-1849698,1146975366,banks,TCB|VCB
locked_final_test,2026-02-09,999263692,920112070,0,79151622,1113393,-1849701,1146983168,banks,TCB|VCB
locked_final_test,2026-02-10,998530531,920112070,78418461,0,-1469469,0,1144573209,banks,TCB|VCB
locked_final_test,2026-02-11,998530531,920112070,78418461,0,-1469469,0,1188285632,banks,TCB|VCB
locked_final_test,2026-02-12,998530531,998530531,0,0,-1469469,0,1182048820,banks,TCB|VCB
locked_final_test,2026-02-13,998530531,998530531,0,0,-1469469,0,1186839063,banks,TCB|VCB
locked_final_test,2026-02-23,998530531,998530531,0,0,-1469469,0,1202976972,banks,TCB|VCB
locked_final_test,2026-02-24,998530531,998530531,0,0,-1469469,0,1203922996,banks,TCB|VCB
locked_final_test,2026-02-25,998530531,998530531,0,0,-1469469,0,1207122668,banks,TCB|VCB
locked_final_test,2026-02-26,998530531,998530531,0,0,-1469469,0,1211763164,banks,TCB|VCB
locked_final_test,2026-02-27,998530531,998530531,0,0,-1469469,0,1206282371,banks,TCB|VCB
locked_final_test,2026-03-02,998008576,968996293,0,29012283,-1469469,-521955,1169103123,banks,MBB|TCB
locked_final_test,2026-03-03,996546691,940138069,0,56408622,-1469469,-1983840,1158054920,banks,MBB|TCB
locked_final_test,2026-03-04,995093212,932116054,19331550,43645608,-3289602,-1617186,1164545596,banks,MBB|TCB
locked_final_test,2026-03-05,995182987,932116054,38782800,24284133,-4494291,-322722,1160741970,banks,MBB|TCB
locked_final_test,2026-03-06,994868779,951447604,19451250,23969925,-4494291,-636930,1129212751,banks,MBB|TCB
locked_final_test,2026-03-09,992982823,963237379,0,29745444,-4494291,-2522886,1050699328,banks,MBB|TCB
locked_final_test,2026-03-10,994299523,963237379,23117058,7945086,-5984088,283611,1081847355,banks,MBB|TCB
locked_final_test,2026-03-11,994344412,963237379,31107033,0,-5655588,0,1102485011,banks,MBB|TCB
locked_final_test,2026-03-12,994344412,986354437,7989975,0,-5655588,0,1075039628,banks,MBB|TCB
locked_final_test,2026-03-13,994344412,994344412,0,0,-5655588,0,1063406477,banks,MBB|TCB
locked_final_test,2026-03-16,994344412,994344412,0,0,-5655588,0,1062066569,banks,MBB|TCB
locked_final_test,2026-03-17,994344412,994344412,0,0,-5655588,0,1075144046,banks,MBB|TCB
locked_final_test,2026-03-18,994344412,994344412,0,0,-5655588,0,1066773463,banks,MBB|TCB
locked_final_test,2026-03-19,994344412,994344412,0,0,-5655588,0,1051520593,banks,MBB|TCB
locked_final_test,2026-03-20,994344412,994344412,0,0,-5655588,0,1035193417,banks,MBB|TCB
locked_final_test,2026-03-23,994344412,994344412,0,0,-5655588,0,993239581,banks,MBB|TCB
locked_final_test,2026-03-24,994344412,994344412,0,0,-5655588,0,1024941233,banks,MBB|TCB
locked_final_test,2026-03-25,994344412,994344412,0,0,-5655588,0,1052110930,banks,MBB|TCB
locked_final_test,2026-03-26,994344412,994344412,0,0,-5655588,0,1041628030,banks,MBB|TCB
locked_final_test,2026-03-27,994344412,994344412,0,0,-5655588,0,1059749194,banks,MBB|TCB
locked_final_test,2026-03-30,994344412,994344412,0,0,-5655588,0,1044277810,banks,MBB|TCB
locked_final_test,2026-03-31,994344412,994344412,0,0,-5655588,0,1060442402,banks,MBB|TCB
locked_final_test,2026-04-01,994344412,994344412,0,0,-5655588,0,1076015885,,
locked_final_test,2026-04-02,994344412,994344412,0,0,-5655588,0,1059817805,,
locked_final_test,2026-04-03,994344412,994344412,0,0,-5655588,0,1043125986,,
locked_final_test,2026-04-06,994344412,994344412,0,0,-5655588,0,1036259681,,
locked_final_test,2026-04-07,994344412,994344412,0,0,-5655588,0,1044817093,,
locked_final_test,2026-04-08,994344412,994344412,0,0,-5655588,0,1104686443,,
locked_final_test,2026-04-09,994344412,994344412,0,0,-5655588,0,1092120400,,
locked_final_test,2026-04-10,994344412,994344412,0,0,-5655588,0,1101985607,,
locked_final_test,2026-04-13,994344412,994344412,0,0,-5655588,0,1091357943,,
locked_final_test,2026-04-14,994344412,994344412,0,0,-5655588,0,1101388832,,
locked_final_test,2026-04-15,994344412,994344412,0,0,-5655588,0,1100868447,,
locked_final_test,2026-04-16,994344412,994344412,0,0,-5655588,0,1097461390,,
locked_final_test,2026-04-17,994344412,994344412,0,0,-5655588,0,1103225042,,
locked_final_test,2026-04-20,994344412,994344412,0,0,-5655588,0,1109320422,,
locked_final_test,2026-04-21,994344412,994344412,0,0,-5655588,0,1099998184,,
locked_final_test,2026-04-22,994344412,994344412,0,0,-5655588,0,1098295014,,
locked_final_test,2026-04-23,994344412,994344412,0,0,-5655588,0,1106218704,,
locked_final_test,2026-04-24,994344412,994344412,0,0,-5655588,0,1100397229,,
locked_final_test,2026-04-28,994344412,994344412,0,0,-5655588,0,1094738518,,
locked_final_test,2026-04-29,994344412,994344412,0,0,-5655588,0,1088323993,,
locked_final_test,2026-05-04,994344412,994344412,0,0,-5655588,0,1094329284,,
locked_final_test,2026-05-05,994344412,994344412,0,0,-5655588,0,1091738763,,
locked_final_test,2026-05-06,994344412,994344412,0,0,-5655588,0,1112931108,,
locked_final_test,2026-05-07,994344412,994344412,0,0,-5655588,0,1111597053,,
locked_final_test,2026-05-08,994344412,994344412,0,0,-5655588,0,1110137113,,
locked_final_test,2026-05-11,994344412,994344412,0,0,-5655588,0,1106590270,,
locked_final_test,2026-05-12,994344412,994344412,0,0,-5655588,0,1102799363,,
locked_final_test,2026-05-13,994344412,994344412,0,0,-5655588,0,1098196987,,
locked_final_test,2026-05-14,994344412,994344412,0,0,-5655588,0,1112505863,,
