trial_id,fold_id,ticker,sector,signal_date,entry_date,exit_date,residual_z5,residual_1,center_vnd,lower_vnd,upper_vnd,hard_lower_vnd,grid_ratio,selected,selection_rank,executed,buy_count,sell_count,target_sale_count,maximum_inventory_shares,maximum_inventory_notional_vnd,distance_0_bought_shares,distance_1_bought_shares,distance_2_bought_shares,stress_reduced_orders,stress_cancelled_orders,deep_trend_shutdown,buffer_shutdown,gap_shutdown,time_exit,normal_target_gain_vnd,risk_time_loss_vnd,net_pnl_vnd,double_cost_net_pnl_vnd
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_09,MWG,consumer_retail,2024-05-21,2024-05-22,2024-05-27,-0.6063716042918209,0.0126108840726942,56630,53000,60300,51700,0.02173963429793635,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_09,VCB,banks,2024-05-23,2024-05-24,2024-05-31,-0.7740270567864534,0.006596949334471952,91620,88900,94300,88000,0.00987662963881375,True,1,True,1,1,0,200,17960000,0,200,0,0,0,False,True,False,False,0,-649032,-649032,-738247
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_10,PNJ,consumer_retail,2024-07-02,2024-07-03,2024-07-24,-0.614529872669531,0.005691282352693333,95885,92500,99300,91400,0.011892986884605827,True,1,True,1,1,0,100,9570000,100,0,0,0,0,False,False,False,True,0,-167595,-167595,-215282
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_10,SSI,securities,2024-07-09,2024-07-10,2024-07-24,-0.6373572698666043,-0.0057852561069467075,35078,33800,36400,33350,0.012427921368117767,True,1,True,1,1,1,200,6890000,0,200,0,0,0,False,True,False,False,15039,0,15039,-19916
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_10,VCB,banks,2024-07-09,2024-07-10,2024-07-31,-0.5301031643652439,0.007744906694328067,86905,84200,89600,83300,0.010413917750917268,True,2,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_11,VPB,banks,2024-09-06,2024-09-09,2024-09-30,-1.3158843053246498,0.0067756028334959445,18498,17850,19150,17650,0.011785442013823921,True,1,True,2,2,2,400,7380000,100,0,300,0,0,False,False,False,False,0,0,-11558,-48209
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_11,HPG,materials,2024-09-16,2024-09-17,2024-10-08,-0.8630356634535076,0.00014867539211433495,25525,24550,26500,24250,0.012820297442070805,True,1,True,2,2,2,200,5050000,100,200,0,0,0,False,False,False,False,16546,0,16546,-21699
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_11,FPT,technology,2024-09-30,2024-10-01,2024-10-22,-1.132489170673018,-0.0013118145325537564,133155,129400,136900,128100,0.009434619763982743,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_11,MWG,consumer_retail,2024-09-30,2024-10-01,2024-10-09,-0.6318951270544398,0.0050129087924093456,67895,65500,70200,64800,0.011616649978556604,True,2,False,0,0,0,0,0,0,0,0,0,0,False,True,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_12,HPG,materials,2024-11-05,2024-11-06,2024-11-18,-0.658531444085785,0.006700040934704877,26868,26050,27700,25800,0.010288338895856564,True,1,True,1,1,1,100,2700000,100,0,0,0,0,False,True,False,False,0,0,-8651,-22100
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_12,VPB,banks,2024-11-06,2024-11-07,2024-11-08,-0.959930655618274,-0.00011030048629808841,20365,19650,21050,19450,0.011536575836912144,True,1,False,0,0,0,0,0,0,0,0,0,0,False,True,False,False,0,0,0,0
