role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L2:C3,2,2025-01-07T14:20:00,BUY,buy,100,18750,18750,1875000,2813,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L1:C1,1,2025-01-08T09:16:00,SELL,risk_exit,100,21450,21400,2140000,3210,2140,5000,-354078
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L1:C2,1,2025-01-08T09:16:00,SELL,risk_exit,100,21450,21400,2140000,3210,2140,5000,-354078
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L1:C3,1,2025-01-08T09:18:00,SELL,risk_exit,100,21450,21400,2140000,3210,2140,5000,-354078
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L2:C1,2,2025-01-08T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-319065
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L2:C2,2,2025-01-08T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-319065
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L2:C3,2,2025-01-08T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-319065
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L3:C1,3,2025-01-09T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-28630
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L3:C2,3,2025-01-09T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-28630
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L3:C3,3,2025-01-09T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-28630
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L4:C1,4,2025-01-09T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-28630
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L4:C2,4,2025-01-09T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-28630
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L4:C3,4,2025-01-09T13:00:00,SELL,risk_exit,100,21550,21500,2150000,3225,2150,5000,-28630
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L3:C1,3,2025-01-10T14:20:00,BUY,buy,100,18550,18550,1855000,2783,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L3:C2,3,2025-01-10T14:20:00,BUY,buy,100,18550,18550,1855000,2783,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L3:C3,3,2025-01-10T14:20:00,BUY,buy,100,18550,18550,1855000,2783,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L4:C1,4,2025-01-13T11:08:00,BUY,buy,100,18350,18350,1835000,2753,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L4:C2,4,2025-01-13T11:08:00,BUY,buy,100,18350,18350,1835000,2753,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L4:C3,4,2025-01-13T11:08:00,BUY,buy,100,18350,18350,1835000,2753,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L1:C1,1,2025-01-14T09:16:00,SELL,risk_exit,100,18250,18200,1820000,2730,1820,5000,-82393
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L1:C2,1,2025-01-14T09:16:00,SELL,risk_exit,100,18250,18200,1820000,2730,1820,5000,-82393
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L1:C3,1,2025-01-14T09:16:00,SELL,risk_exit,100,18250,18200,1820000,2730,1820,5000,-82393
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L2:C1,2,2025-01-14T09:16:00,SELL,risk_exit,100,18250,18200,1820000,2730,1820,5000,-62363
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L2:C2,2,2025-01-14T09:16:00,SELL,risk_exit,100,18250,18200,1820000,2730,1820,5000,-62363
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L2:C3,2,2025-01-14T09:16:00,SELL,risk_exit,100,18250,18200,1820000,2730,1820,5000,-62363
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L3:C1,3,2025-01-14T13:00:00,SELL,risk_exit,100,18200,18150,1815000,2723,1815,5000,-47321
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L3:C2,3,2025-01-14T13:00:00,SELL,risk_exit,100,18200,18150,1815000,2723,1815,5000,-47321
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L3:C3,3,2025-01-14T13:00:00,SELL,risk_exit,100,18200,18150,1815000,2723,1815,5000,-47321
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L4:C1,4,2025-01-15T13:00:00,SELL,risk_exit,100,18400,18350,1835000,2753,1835,5000,-7341
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L4:C2,4,2025-01-15T13:00:00,SELL,risk_exit,100,18400,18350,1835000,2753,1835,5000,-7341
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L4:C3,4,2025-01-15T13:00:00,SELL,risk_exit,100,18400,18350,1835000,2753,1835,5000,-7341
out_of_sample,2025-02,VPB,banks,2025-02:VPB:L1:C1,1,2025-02-03T09:16:00,BUY,buy,100,18650,18700,1870000,2805,0,5000,0
out_of_sample,2025-02,VPB,banks,2025-02:VPB:L1:C2,1,2025-02-03T09:16:00,BUY,buy,100,18650,18700,1870000,2805,0,5000,0
out_of_sample,2025-02,VPB,banks,2025-02:VPB:L1:C3,1,2025-02-03T09:16:00,BUY,buy,100,18650,18700,1870000,2805,0,5000,0
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C1,1,2025-02-03T09:54:00,BUY,buy,100,91800,91800,9180000,13770,0,0,0
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C2,1,2025-02-03T09:54:00,BUY,buy,100,91800,91800,9180000,13770,0,0,0
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C3,1,2025-02-03T09:54:00,BUY,buy,100,91800,91800,9180000,13770,0,0,0
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C1,1,2025-02-05T13:55:00,SELL,grid_target,100,92600,92600,9260000,13890,9260,0,43080
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C2,1,2025-02-05T13:55:00,SELL,grid_target,100,92600,92600,9260000,13890,9260,0,43080
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C3,1,2025-02-05T13:57:00,SELL,grid_target,100,92600,92600,9260000,13890,9260,0,43080
out_of_sample,2025-02,VPB,banks,2025-02:VPB:L1:C1,1,2025-02-05T14:01:00,SELL,grid_target,100,18900,18900,1890000,2835,1890,0,12470
out_of_sample,2025-02,VPB,banks,2025-02:VPB:L1:C2,1,2025-02-05T14:01:00,SELL,grid_target,100,18900,18900,1890000,2835,1890,0,12470
out_of_sample,2025-02,VPB,banks,2025-02:VPB:L1:C3,1,2025-02-05T14:01:00,SELL,grid_target,100,18900,18900,1890000,2835,1890,0,12470
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C1,1,2025-02-11T14:25:00,BUY,buy,100,91800,91800,9180000,13770,0,0,0
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C2,1,2025-02-11T14:25:00,BUY,buy,100,91800,91800,9180000,13770,0,0,0
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C3,1,2025-02-12T13:24:00,BUY,buy,100,91700,91800,9180000,13770,0,10000,0
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C1,1,2025-02-21T09:27:00,SELL,grid_target,100,92700,92600,9260000,13890,9260,10000,43080
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C2,1,2025-02-21T09:27:00,SELL,grid_target,100,92700,92600,9260000,13890,9260,10000,43080
out_of_sample,2025-02,VCB,banks,2025-02:VCB:L1:C3,1,2025-02-21T09:27:00,SELL,grid_target,100,92700,92600,9260000,13890,9260,10000,43080
out_of_sample,2025-03,VPB,banks,2025-03:VPB:L1:C1,1,2025-03-04T10:49:00,BUY,buy,100,19050,19050,1905000,2858,0,0,0
out_of_sample,2025-03,VPB,banks,2025-03:VPB:L1:C2,1,2025-03-04T10:49:00,BUY,buy,100,19050,19050,1905000,2858,0,0,0
out_of_sample,2025-03,VPB,banks,2025-03:VPB:L1:C3,1,2025-03-04T10:49:00,BUY,buy,100,19050,19050,1905000,2858,0,0,0
out_of_sample,2025-03,VPB,banks,2025-03:VPB:L1:C1,1,2025-03-07T10:24:00,SELL,grid_target,100,19300,19300,1930000,2895,1930,0,17317
out_of_sample,2025-03,VPB,banks,2025-03:VPB:L1:C2,1,2025-03-07T10:24:00,SELL,grid_target,100,19300,19300,1930000,2895,1930,0,17317
out_of_sample,2025-03,VPB,banks,2025-03:VPB:L1:C3,1,2025-03-07T10:24:00,SELL,grid_target,100,19300,19300,1930000,2895,1930,0,17317
out_of_sample,2025-04,TCB,banks,2025-04:TCB:L1:C1,1,2025-04-03T09:15:00,BUY,buy,100,27000,27050,2705000,4058,0,5000,0
out_of_sample,2025-04,TCB,banks,2025-04:TCB:L1:C2,1,2025-04-03T09:15:00,BUY,buy,100,27000,27050,2705000,4058,0,5000,0
out_of_sample,2025-04,TCB,banks,2025-04:TCB:L1:C3,1,2025-04-03T09:15:00,BUY,buy,100,27000,27050,2705000,4058,0,5000,0
out_of_sample,2025-04,TCB,banks,2025-04:TCB:L2:C1,2,2025-04-03T09:39:00,BUY,buy,100,26750,26750,2675000,4013,0,0,0
out_of_sample,2025-04,TCB,banks,2025-04:TCB:L2:C2,2,2025-04-03T09:39:00,BUY,buy,100,26750,26750,2675000,4013,0,0,0
