role,trading_date,equity_vnd,available_cash_vnd,pending_cash_vnd,inventory_liquidation_value_vnd,realized_pnl_vnd,unrealized_pnl_vnd,benchmark_equity_vnd,selected_sector,selected_tickers
optimization,2024-03-07,1000333915,971216890,29117025,0,333915,0,1167910760,banks,MBB|VCB
optimization,2024-03-08,1000265534,964086209,29117025,7062300,333915,-68381,1143645197,banks,MBB|VCB
optimization,2024-03-11,999357029,931821296,0,67535733,333915,-976886,1121889987,banks,MBB|VCB
optimization,2024-03-12,999613576,922377151,0,77236425,333915,-720339,1124704075,banks,MBB|VCB
optimization,2024-03-13,1001089873,922377151,26134500,52578222,684796,405077,1159059713,banks,MBB|VCB
optimization,2024-03-14,1000556212,922377151,33256650,44922411,791437,-235225,1145953069,banks,MBB|VCB
optimization,2024-03-15,1000126661,929623361,7122150,63381150,791437,-664776,1147066351,banks,MBB|VCB
optimization,2024-03-18,999376622,895058072,0,104318550,791437,-1414815,1120939370,banks,MBB|VCB
optimization,2024-03-19,998927747,895058072,0,103869675,791437,-1863690,1116596824,banks,MBB|VCB
optimization,2024-03-20,1000259408,895058072,21531036,83670300,1386113,-1126705,1148219194,banks,MBB|VCB
optimization,2024-03-21,1001855408,895058072,49820136,56977200,1793453,61955,1180040422,banks,MBB|VCB
optimization,2024-03-22,1002423983,916589108,56987175,28847700,2159093,264890,1185744787,banks,MBB|VCB
optimization,2024-03-25,1002174608,944878208,57296400,0,2174608,0,1177744707,banks,MBB|VCB
optimization,2024-03-26,1002174608,973576283,28598325,0,2174608,0,1194174243,banks,MBB|VCB
optimization,2024-03-27,1002174608,1002174608,0,0,2174608,0,1193148105,banks,MBB|VCB
optimization,2024-03-28,1002174608,1002174608,0,0,2174608,0,1208219681,banks,MBB|VCB
optimization,2024-03-29,1002174608,1002174608,0,0,2174608,0,1199474301,banks,MBB|VCB
optimization,2024-04-01,1002174608,1002174608,0,0,2174608,0,1195965506,securities,SSI|VND
optimization,2024-04-02,1002174608,1002174608,0,0,2174608,0,1195885219,securities,SSI|VND
optimization,2024-04-03,1002174608,1002174608,0,0,2174608,0,1177151302,securities,SSI|VND
optimization,2024-04-04,1002174608,1002174608,0,0,2174608,0,1170108444,securities,SSI|VND
optimization,2024-04-05,1001864531,973241270,0,28623261,2174608,-310077,1154007451,securities,SSI|VND
optimization,2024-04-08,1001613932,966691460,0,34922472,2174608,-560676,1152013418,securities,SSI|VND
optimization,2024-04-09,1002451832,966691460,0,35760372,2174608,277224,1165162159,securities,SSI|VND
optimization,2024-04-10,1001973032,966691460,0,35281572,2174608,-201576,1158289611,securities,SSI|VND
optimization,2024-04-11,1001973032,966691460,0,35281572,2174608,-201576,1153826677,securities,SSI|VND
optimization,2024-04-12,1002362054,966691460,11296686,24373908,2369665,-7611,1179020722,securities,SSI|VND
optimization,2024-04-15,1000686254,966691460,11296686,22698108,2369665,-1683411,1113211533,securities,SSI|VND
optimization,2024-04-16,1000701221,977988146,22713075,0,701221,0,1119403848,securities,SSI|VND
optimization,2024-04-17,1000701221,977988146,22713075,0,701221,0,1092296788,securities,SSI|VND
optimization,2024-04-19,1000701221,1000701221,0,0,701221,0,1076637956,securities,SSI|VND
optimization,2024-04-22,1000701221,1000701221,0,0,701221,0,1103664319,securities,SSI|VND
optimization,2024-04-23,1000701221,1000701221,0,0,701221,0,1094935259,securities,SSI|VND
optimization,2024-04-24,1000701221,1000701221,0,0,701221,0,1122852825,securities,SSI|VND
optimization,2024-04-25,1000701221,1000701221,0,0,701221,0,1117223262,securities,SSI|VND
optimization,2024-04-26,1000701221,1000701221,0,0,701221,0,1115054079,securities,SSI|VND
optimization,2024-05-02,1000701221,1000701221,0,0,701221,0,1110436089,,
optimization,2024-05-03,1000701221,1000701221,0,0,701221,0,1117721986,,
