trial_id,fold_id,sample_role,ticker,sector,signal_date,entry_date,exit_date,exit_reason,exit_session_offset,entry_price_vnd,exit_price_vnd,target_vnd,downside_vnd,grid_distance_fraction,gap_down_exit,target_first,net_pnl_vnd,net_return,double_cost_net_pnl_vnd,double_cost_net_return,residual_z5,residual_1,residual_5,residual_slope20,downside_semivol20,residual_ar1_20,ticker_return5,market_return5,atr20_fraction,log_median_value60,predicted_probability,base_probability,estimated_ev_vnd,selected,selection_rank
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,VCB,banks,2023-05-15,2023-05-16,2023-05-18,target,2,92000,93400,93400,90600,0.015215246403905073,False,True,93555,0.010148716584112635,47219,0.005112036296442891,-0.8372429207959841,-0.01152959507757652,-0.021236530164969902,-9.601495973128927e-05,0.0064199335703765065,-0.13195742018330225,-0.013719946289368568,0.021338615937480925,0.015215246403905073,24.316494978417406,0.5867550724029904,0.4744897959183674,5117.489542563439,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,TCB,banks,2023-06-09,2023-06-12,2023-06-14,target,2,32250,32921,32921,31579,0.020796590241034685,False,True,50834,0.015731067264129924,34471,0.01064614709910945,-0.7945448224521333,0.0029260293983602026,-0.02254738680247656,-0.00042190220209231634,0.0056500158298088,-0.16690729847772076,0.007102317057065655,0.02545641419444438,0.020796590241034685,24.62205384490555,0.5842184346985159,0.4744897959183674,4559.087067890177,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,oos,VND,securities,2023-07-10,2023-07-11,2023-07-14,target,3,17700,18231,18231,17169,0.03,False,True,44089,0.024859096639745237,35078,0.019738733846712226,-1.849933246825095,-0.02053182137346609,-0.08455849848953156,-0.0014509920874741574,0.018519093597507093,0.37722138082629764,-0.05685088637911939,0.018693402287912768,0.03809523809523809,25.975365584990076,0.6272085367106134,0.5205992509363296,2693.577841177437,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,oos,VPB,banks,2023-07-12,2023-07-13,2023-07-17,target,2,19900,20308,20308,19492,0.02047740215679147,False,True,30739,0.015415855477420604,20680,0.010350474680376542,-1.273551769502669,-0.009638332346462882,-0.026497151462291674,-0.00011882288274337873,0.006257437771791453,-0.23879140900929213,-0.014673400848910334,0.017363705605388947,0.02047740215679147,25.158285310026884,0.6404515048344998,0.5205992509363296,5352.951788339538,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,oos,TCB,banks,2023-07-21,2023-07-24,2023-07-25,target,1,32450,32983,32983,31917,0.016438154209052043,False,True,36988,0.011375777725152008,20580,0.0063168653860025265,-0.9200709765600512,-0.01091793255796921,-0.01941311280957019,-0.00014053679476927873,0.008824765639529615,-0.16612299782114848,0.011129523750246562,0.02770264972818956,0.016438154209052043,24.78048166297143,0.6234393406524767,0.5205992509363296,1936.6703484625032,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,oos,HPG,materials,2023-08-01,2023-08-02,2023-08-03,downside_touch,1,27400,26793,28007,26793,0.022164502164502164,False,False,-74207,-0.0270284741061048,-87711,-0.03188414963968523,-1.0263091219247096,-0.017912739945955537,-0.030304150514808392,-0.0009128423326400103,0.007096273040557486,0.2048281456964186,-0.02656765618734358,0.009821212562080524,0.022164502164502164,26.077617222244648,0.688679994615259,0.5205992509363296,15037.909724814977,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,oos,VPB,banks,2023-08-14,2023-08-15,2023-08-16,target,1,21950,22448,22448,21452,0.022670571645514698,False,True,38696,0.017593937239075853,27595,0.012521599134582574,-1.1111542269270236,-0.0125479210009448,-0.026781750725712095,-0.0007356391444394264,0.005777951946800351,-0.2246237504233407,-0.031154276762630162,-0.006379355860196643,0.022670571645514698,25.630120755195,0.6494535945541356,0.5205992509363296,7160.697804675176,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,oos,VND,securities,2023-09-08,2023-09-11,2023-09-12,target,1,23800,24514,24514,23086,0.03,False,True,59303,0.024867366775524032,47108,0.019714196874972535,-0.9519540521446728,-0.00477893634932094,-0.03946966243521739,-0.000963032596846174,0.006841491114237956,-0.3415829858873973,0.006640741402944128,0.030732590678547736,0.03503473270915131,26.128294877177012,0.7395618785182064,0.5487012987012987,22585.170542614786,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,oos,HPG,materials,2023-09-13,2023-09-14,2023-09-18,downside_touch,2,28400,27550,29250,27550,0.02992957746478873,False,False,-98946,-0.034770819584335734,-112889,-0.03959172708295924,-1.2178893442185732,-0.00983574024923408,-0.03439765514832382,0.00046026236168275706,0.009479042970484602,-0.2265432761802461,-0.02005371940058398,0.015870533764124232,0.02992957746478873,26.25168125610772,0.7589947281132796,0.5487012987012987,26368.322106190208,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,oos,VPB,banks,2023-09-20,2023-09-21,2023-09-22,downside_touch,1,21700,21181,22219,21181,0.02391824309632529,False,False,-62650,-0.028813115785494288,-73297,-0.033642276624270155,-0.8398188217642473,-0.008170534298721686,-0.024184475764338263,0.00039832774684609774,0.009553830073072901,-0.0772538589388116,-0.024555783838125733,-0.0004218751479371734,0.02391824309632529,25.728127562693455,0.7153991736697705,0.5487012987012987,17881.21942209835,True,1
